name,age,breed,uri,author,,,
Ness,7,Husky,https://drive.google.com/uc?export=view&id=1kl1fC28N1gbbDn-lFCvRSy_HGKdgiqem,Carlos Díaz,,,
Bran,8,Husky,https://drive.google.com/uc?export=view&id=15uEX4rQI-P26p3rdUaj4a4UuUJB4oUEa,Carlos Díaz,,,
Paloma,13,Chihuahua,https://drive.google.com/uc?export=view&id=19mJGq1HLId0OYBsB6fZFuZpRLEMFcxPS,Carlos Díaz,,,
Snowball,2,Husky,https://drive.google.com/uc?export=view&id=1jFK6WrtldInFAHk4d15QIJdTEcJl0CAX,Carlos Díaz,,,
Merlia,3,Chihuahua,https://drive.google.com/uc?export=view&id=1DI9WEvHFqh0fBXO1tnUuqbiIEPbUPb8C,Carlos Díaz,,,
Akira,1.5,Husky,https://drive.google.com/uc?export=view&id=1iXrL3tnmUyC-ikQmZsOE0K591dafilnG,Carlos Díaz,,,
Goofy,13,Pug,https://drive.google.com/uc?export=view&id=14_wzbKTDs7fmMu5aHbHaQ3HfI4EER5Vu,Carlos Díaz,,,
Jacob,13,Pastor Aleman,https://drive.google.com/uc?export=view&id=10g4uViHQp-wKzebWUbTbcD7L8UTvVOZM,Axel Vergara,,,
Loki,11,Husky Siberiano,https://drive.google.com/uc?export=view&id=1dVUCwyT9bK9waUW2g8Ic09Qy4YdCaRst,Axel Vergara,,,
Dolly,11,Tacita de te,https://drive.google.com/uc?export=view&id=1pGaiZGaSpQssJwAUb3q9fSq_M34qtVJb,Axel Vergara,,,
Frida ,14,Mestizo,https://drive.google.com/uc?export=view&id=1oz5hj4lT3ifnIps7P3WohSi7HyFa_9vg,Axel Vergara,,,
Goku ,14,Mestizo,https://drive.google.com/uc?export=view&id=1lMuI9ZiTn8nGy91XzsSKwZvbsr-pRjDl,Axel Vergara,,,
Hachi,10,Husky,https://drive.google.com/uc?export=view&id=1EGeITRfYpXIBfcjeDIgBMl1ebaSNsZd1,Axel Vergara,,,
Negro,8,Scott Terrier,https://drive.google.com/uc?export=view&id=1jlbwB9pzkv3imd1MosExKogmZymqnETW,Axel Vergara,,,
Guero,15,Pitbull,https://drive.google.com/uc?export=view&id=1bm8zTPDxJN5fa7hsaejgvviTP1CVI0x_,Axel Vergara,,,
Oreo,1,Mestizo,https://drive.google.com/uc?export=view&id=12bRI4CQga3rMh4IlnlGmPiENDbyEIls9,Axel Vergara,,,
Rocco,5,Bulldog Frances,https://drive.google.com/uc?export=view&id=1DUkF9BnWm9ydtA-VO3-ep1mgbjFXnnK8,Axel Vergara,,,
Ron,6,Pug,https://drive.google.com/uc?export=view&id=19OJtqYL_EUNKkArHQzomwHOjxypFs63v,Alan Lomeli,,,
Princesa,15,Cocker,https://drive.google.com/uc?export=view&id=15j_Yj8cRwMQhZeNEL0XcVcoPy3vqaqW2,Alan Lomeli,,,
Cherly,8,Boxer,https://drive.google.com/uc?export=view&id=1CiOE9lxbAOiPOwiHiEfbagE_9385Xbfx ,Alan Lomeli,,,
Chovis,5,Mestizo,https://drive.google.com/uc?export=view&id=112EkWyN8vVWC4ML-qcsKZHk1ASliFmr1,Alan Lomeli,,,
Lola,4,Mestizo,https://drive.google.com/uc?export=view&id=1XWfuniq7Q58KzF0t5xQ1UF7jrD5fd5oG,Alan Lomeli,,,
Phoebe,0.6,Shih Tzu,https://drive.google.com/uc?export=view&id=1HQXqlaL464O9_HSnk4HYHTReC3vXDeEu ,Alan Lomeli,,,
Mike,1,Shih Tzu,https://drive.google.com/uc?export=view&id=1tOTCZsYbeLtY5nb0OaJHGQDbJ9mVpWDb,Alan Lomeli,,,
Ginny,1,Shih Tzu,https://drive.google.com/uc?export=view&id=1Lkht4rEAFV6nnRKF1VxBFDAnlZYz56RC,Alan Lomeli,,,
Tobi,1,Mestizo,https://drive.google.com/uc?export=view&id=1G_nBLZ79AiznXJ8MoeXJvNthMXseDnzk,Alan Lomeli,,,
Laki,6,Mestizo,https://drive.google.com/uc?export=view&id=10-P6L6uXUV3XR5Vg-ggrF7YFLFX-D0k9 ,Alan Lomeli,,,
Piña,1,Mestizo,https://drive.google.com/uc?export=view&id=1C9dCVP5Xtwe2thDdskqciXgzGemWAMCv,Jesus Flores,,,
Blacky,5,Boxer,https://drive.google.com/uc?export=view&id=1RqksYzgEos0GKknyEzWjr9qNcTzNmkuP,Jesus Flores,,,
Toto,1,Mestizo,https://drive.google.com/uc?export=view&id=1_Ix7-Lo4Dnz6sRXCd-YTOq22tNvaoRGx,Jesus Flores,,,
Kika,1,Mestizo,https://drive.google.com/uc?export=view&id=1jkpdXg9T52rxPq4VNru2fhuighR3dmDJ,Jesus Flores,,,
Manchas,1,Pitbull,https://drive.google.com/uc?export=view&id=1whs930k35wXK5PpKvzEOg6HTl3RT2TAc,Jesus Flores,,,
Pluto,1,Mestizo,https://drive.google.com/uc?export=view&id=1p1EeG3ZeRpPm8a2FZLmIOcf8QtXzVT8g,Jesus Flores,,,
Rambo,3,Mestizo,https://drive.google.com/uc?export=view&id=1iLyC5MaNLnOv439PRHqHpQ7tNX8or7dM,Jesus Flores,,,
Tom,9,Mestizo,https://drive.google.com/uc?export=view&id=1Y7yW3PWNy1ukws-Haq2pfz3yvib8W3aQ,Jesus Flores,,,
Guero,10,Mestizo,https://drive.google.com/uc?export=view&id=1pRAf4kYQ560fm3bR5EEApxZjHIShGAmK,Jesus Flores,,,
Cholo,6,Pitbull,https://drive.google.com/file/d/1iyL1KUX71P-Ee3czIoTdmF7nq7QXK8c_/view?usp=sharing,Jesus Flores,,,
Pulga,0.7,Mestizo,https://drive.google.com/file/d/1VfcNOFJhsQFXYzXTkzWEh11GQCS9KOCp/view?usp=sharing,Jorge Dávalos,,,
Laisha,2,Chihuahua,https://drive.google.com/file/d/1DPA4dfee4-TxUm2dEDl-ZNwLZZ0avT0J/view?usp=sharing,Jorge Dávalos,,,
Pancho,8,Pitbull,https://drive.google.com/file/d/1OpGqtjVQ1lzo__XNNaMWcy1RIafmA0Qq/view?usp=share_link,Jorge Dávalos,,,
Pimi,7,Mestizo,https://drive.google.com/file/d/1OwuJ1-OyyQ2c6pYEt-JDk1eOVQUFv8sk/view?usp=sharing,Jorge Dávalos,,,
Walter,4,Pitbull,https://drive.google.com/file/d/1Hieh5MSR7WB1lbrCGXxD-UdVDglpKdp5/view?usp=share_link,Jorge Dávalos,,,
Oreo,7,Mestizo,https://drive.google.com/file/d/1Tpk_5QMymUWDR4DDwwb46k_oTzXy9wDK/view?usp=sharing,Jorge Dávalos,,,
Bobi,3,Border Collie,https://drive.google.com/file/d/1b27QC2M288z-wu8VlD7hgKDB2BiamyiJ/view?usp=sharing,Jorge Dávalos,,,
Frida ,2,Yorkshire,https://drive.google.com/file/d/1Og82N1KD5fZ3loYGavy9fsapf48KmDHO/view?usp=sharing,Jorge Dávalos,,,
Maui,4,Pastor de Shetland,https://drive.google.com/file/d/1ucuWLT-gwc7rSYkqgGZFKV3BgcrFQxdb/view?usp=sharing,Jorge Dávalos,,,
Sakura,1,French Poodle,None,Jorge Dávalos,,,
Sal,2,Mestizo,https://drive.google.com/uc?export=view&id=1VcrDCgnwVTHuj1283VwKxlNOQV_u7vsk,Yesua Santillan,,,
Pimienta,2,Mestizo,https://drive.google.com/uc?export=view&id=1iZyXHl3ZOW7c230RpGgnqJTFDuhhr4hi,Yesua Santillan,,,
Sushi,3,Samoyedo,https://drive.google.com/uc?export=view&id=13q3BmzrRFfxPhesY-cVOWAgtFnWzSHN2,Yesua Santillan,,,
Limbo,2,Pitbull,https://drive.google.com/uc?export=view&id=15a6QYU9AQX3zAdE9EHgxbpyFntdgWIMu,Yesua Santillan,,,
Tara,0.6,Lobero Irlandés,https://drive.google.com/uc?export=view&id=11bJYMdAZnzouibyAhfmAwOy17BhKXUFE,Yesua Santillan,,,
Kobe,0.3,Corgi,https://drive.google.com/uc?export=view&id=1Gdvy1ZetxSRoKaSmoQxn8mgLKpoyKwW-,Yesua Santillan,,,
Mazapán,3,Corgi Alemán,https://drive.google.com/uc?export=view&id=12l3S6Je8voblA0QcwSCzNKw6OXjhu_vY,Yesua Santillan,,,
Wae,5,Labrador,https://drive.google.com/uc?export=view&id=1ypMabLxX1H9xqMUlPM5xc9yRfZary2DW,Yesua Santillan,,,
Vodka,15,Mestizo,https://drive.google.com/uc?export=view&id=1Z6mLPVHs4H9ntNKTmXSF9p9Po8KPEXSa,Yesua Santillan,,,
Macario,5,Pastor Australiano,https://drive.google.com/uc?export=view&id=1XmSUWtq2r1d3lTxIbTSrAl5vIl9Ukowj,Yesua Santillan,,,
Banana,3.9,Sloughi,https://drive.google.com/uc?export=view&id=1Q5vxoqSkIrS6UykDDS3aKQrqrN_9LK5Y,Saul Rodriguez,,,
Foxy,1,Mestizo,https://drive.google.com/uc?export=view&id=1Q1nphh6CaLK6ECtFJXRYIzRCLWuOoQhZ,Saul Rodriguez,,,
Almendra,2.1,Mestizo,https://drive.google.com/uc?export=view&id=1Q6_GkWcp0m65ME5ZtKfgIH0quICrUI4R,Saul Rodriguez,,,
Bola,3,Australian Kelpie,https://drive.google.com/uc?export=view&id=1QE9z6klZov5yuagXSotxGnbPwvYtGbaf,Saul Rodriguez,,,
Beyoncé,4,Schnauzer Miniatura,https://drive.google.com/uc?export=view&id=1QJmtTcnluBCm1Wn8V2qgs5Xr-mBY0YB8,Saul Rodriguez,,,
Mike,1.1,Chihuahua,https://drive.google.com/uc?export=view&id=1QKjg3ejZ8IbOVvoIIv4NUaDirc-iL6Wm,Saul Rodriguez,,,
Dewey,1.2,Podenco Canario,https://drive.google.com/uc?export=view&id=1QOcwfOqw_ojbCgglxcL6AHzhE5dxhWqE,Saul Rodriguez,,,
Kira,3,Jack Russell Terrier,https://drive.google.com/uc?export=view&id=1QSjYTnQRyLOsyYmRK3OdUpMLtNJysiLU,Saul Rodriguez,,,
Sofi,5,Xoloitzcuintli,https://drive.google.com/uc?export=view&id=1QTYCh5ilNo2GtZ3QZlHA7R4arRrvnYLh,Saul Rodriguez,,,
Bruno,1,Mestizo,https://drive.google.com/uc?export=view&id=1QV4vZzMeVvR4fFqVt3S73FCBohiy09pk,Saul Rodriguez,,,
Malacara,7,Boxer,https://drive.google.com/uc?export=view&id=15CVKAXTlekFD9unDGSo7Zw3Cln14Wowe,Gustavo Carrillo,,,
Poncho,16,Pitbull,https://drive.google.com/uc?export=view&id=18MrFOgJICYE2HxEFG1v_ROt_fepz3-l1,Gustavo Carrillo,,,
Chuki,9,Chihuahua,https://drive.google.com/uc?export=view&id=1DUFZwOuN5ZOVz_Qxjsv6X47IT131pg6C,Gustavo Carrillo,,,
Max,13,Mestizo,https://drive.google.com/uc?export=view&id=1MQ4fQyIXt_mFj1dhv1G3MKRcpbKly7yS,Gustavo Carrillo,,,
Chiquirionda,5,Maltes,https://drive.google.com/uc?export=view&id=1ROaphiSucuI3go44NOebTb1ume6TlXvx,Gustavo Carrillo,,,
Shakira,3,Pastor Aleman,https://drive.google.com/uc?export=view&id=1bqsczE8r0kQkF10a9150LtPnZnMKpkSy,Gustavo Carrillo,,,
Muneca,15,Chihuahua,https://drive.google.com/uc?export=view&id=1bY0IlnaqhR0JrJjXyPMFzulEL5OYR46v,Gustavo Carrillo,,,
Chorizo,6,Duchshund,https://drive.google.com/uc?export=view&id=1soyPseo-FT6g_Az0gHlXD9u-W9L62-t7,Gustavo Carrillo,,,
Jaimito,8,Husky,https://drive.google.com/uc?export=view&id=1uyyf4vB-P-i_Qcbs_yxUDpCAXniFdHlZ,Gustavo Carrillo,,,
Igor,11,Mastin Napolitano,https://drive.google.com/uc?export=view&id=1iwNh7vy68dUb-h7CsEJcfMU9EbjOBBUd,Gustavo Carrillo,,,
Dante,2,Border Collie,https://drive.google.com/uc?export=view&id=1rkJGChrWCKcfSgNKOmt9bsMvQsX58IJS,Tonatiuh Martínez,,,
Galleta ,7,Pastor Australiano,https://drive.google.com/uc?export=view&id=1qrO_2tv_hTOdPZQQgMEqvEgXBnOBGTHE,Tonatiuh Martínez,,,
Bruno,2,Pitbull,https://drive.google.com/uc?export=view&id=146sExuHGgVBVszpi_vRL9pV5uKGIUX6o,Tonatiuh Martínez,,,
Candy,7,Mestizo,https://drive.google.com/uc?export=view&id=1xD5REW9Uto9Rb8095G5w_JhPEia2kvXU,Tonatiuh Martínez,,,
Skiper,1,Cocker,https://drive.google.com/uc?export=view&id=1V9MH3nXXKsvksZFL7ZnLAdMgO34RKYol,Tonatiuh Martínez,,,
Camila,12,Caniche,https://drive.google.com/uc?export=view&id=1wB_tvZ5SYmVFkOlBr_lEtdgFvyvrXMqn,Tonatiuh Martínez,,,
Cocoa,2,Salchicha,https://drive.google.com/uc?export=view&id=1gZgRbxG3J9cn_WanouBtTvr5qHeueLXi,Tonatiuh Martínez,,,
Chinto,10,Schnauzer,https://drive.google.com/uc?export=view&id=1sDJL5Fj2COjYbdridW_N9KIyokeRqz-g,Tonatiuh Martínez,,,
Nemo,9,Schnauzer,https://drive.google.com/uc?export=view&id=1XRk_BHTGSXngc3a3VXk9kQL14lleHuEU,Tonatiuh Martínez,,,
Guera,4,Mestizo,https://drive.google.com/uc?export=view&id=1aicOyhSWuTeVuALXsKV5nGjsY3hEhqqs,Armando Aguayo,,,
Kira,5,Pitbull,https://drive.google.com/uc?export=view&id=15u1kd6_d_zBshvf2qFbRsi6D1eXRgF94,Armando Aguayo,,,
Charro,0.5,Mestizo,https://drive.google.com/uc?export=view&id=1TYCNlIRVmJMKHfB7RVnoqbxBACVOYCdK,Armando Aguayo,,,
Guierilla,0.5,Mestizo,https://drive.google.com/uc?export=view&id=1h-uCbHlw3c6VmqqV2f9y6zWMbInkODvb,Armando Aguayo,,,
Roco,0.5,Mestizo,https://drive.google.com/uc?export=view&id=18m8_Gz1paYJPZ50VIwmoZt4sHzQDIWaL,Armando Aguayo,,,
Pulgas,0.5,Mestizo,https://drive.google.com/uc?export=view&id=1Sgh8YgIoFbS4dxrjYZwXyDkfRhDTujpV,Armando Aguayo,,,
Machoke,0.5,Mestizo,https://drive.google.com/uc?export=view&id=1ZASKn_dRGRak_i9X_U-4qbjxJuyhqhmw,Armando Aguayo,,,
Babas,0.5,Mestizo,https://drive.google.com/uc?export=view&id=1K0Mln0lR5E6X4tR5J3vbt1xNZ13ElFnv,Armando Aguayo,,,
Chapo,0.5,Mestizo,https://drive.google.com/uc?export=view&id=1b298tvThmuSu1rfdL410cp3oEV-PSy1g,Armando Aguayo,,,
Lucho,0.5,Mestizo,https://drive.google.com/uc?export=view&id=1MKt-ptTebhAdp1odnjGRfb1Wgyc_Eb4i,Armando Aguayo,,,
